1,3.0,,4,5.0,,3,7.3,,9,8.2,,2,12.0,,8,12.0,,10,13.0,,5,15.0,,7,19.0,,6,23.0,,11,31.0
4,4.8,,1,4.8,,1,9.0,,1,17.0,,1,24.0,,1,41.0,,1,52.0,,1,18.0,,1,39.0,,1,67.0,,1,90.0
3,9.0,,3,11.0,,4,11.0,,4,19.0,,4,40.0,,4,46.0,,4,60.0,,4,23.0,,3,44.0,,4,84.0,,4,134.0
9,17.0,,9,19.0,,9,24.0,,3,24.0,,8,48.0,,2,48.0,,3,93.0,,3,42.0,,4,61.0,,2,120.0,,3,185.0
5,18.0,,5,23.0,,5,42.0,,5,42.0,,3,60.0,,3,62.0,,5,104.0,,9,42.0,,9,118.0,,3,124.0,,10,202.0
2,24.0,,2,40.0,,7,44.0,,8,78.0,,5,73.0,,9,78.0,,9,104.0,,2,73.0,,5,171.0,,8,130.0,,9,206.0
7,39.0,,8,46.0,,2,60.0,,2,83.0,,9,83.0,,5,106.0,,2,124.0,,10,104.0,,8,178.0,,9,143.0,,2,210.0
8,41.0,,10,60.0,,8,62.0,,10,104.0,,6,120.0,,6,130.0,,8,158.0,,8,106.0,,2,191.0,,5,152.0,,5,252.0
10,52.0,,7,61.0,,10,93.0,,7,118.0,,10,124.0,,10,158.0,,6,181.0,,6,152.0,,10,225.0,,10,181.0,,6,278.0
6,67.0,,6,84.0,,6,124.0,,6,143.0,,7,191.0,,7,178.0,,11,202.0,,7,171.0,,6,240.0,,7,240.0,,8,305.0
11,90.0,,11,134.0,,11,185.0,,11,206.0,,11,210.0,,11,305.0,,7,225.0,,11,252.0,,11,317.0,,11,278.0,,7,317.0
